title,price,rating,in_stock,category
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,True,Science Fiction
Dune (Dune #1),54.86,1,True,Science Fiction
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,True,Science Fiction
Three Wishes (River of Time: California #1),44.18,2,True,Science Fiction
The Last Girl (The Dominion Trilogy #1),36.26,2,True,Science Fiction
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,True,Science Fiction
Unicorn Tracks,18.78,3,True,Fantasy
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,True,Fantasy
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,True,Fantasy
Masks and Shadows,56.4,2,True,Fantasy
Crown of Midnight (Throne of Glass #2),43.29,3,True,Fantasy
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,True,Fantasy
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,True,Fantasy
Throne of Glass (Throne of Glass #1),35.07,3,True,Fantasy
The Glittering Court (The Glittering Court #1),44.28,1,True,Fantasy
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,True,Fantasy
The Star-Touched Queen,46.02,5,True,Fantasy
The Hidden Oracle (The Trials of Apollo #1),52.26,2,True,Fantasy
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,True,Fantasy
Island of Dragons (Unwanteds #7),29.65,1,True,Fantasy
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,True,Fantasy
City of Glass (The Mortal Instruments #3),56.02,4,True,Fantasy
Searching for Meaning in Gailana,38.73,1,True,Fantasy
The Star-Touched Queen,32.3,5,True,Fantasy
A Shard of Ice (The Black Symphony Saga #1),56.63,3,True,Fantasy
King's Folly (The Kinsman Chronicles #1),39.61,5,True,Fantasy
Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,True,Fantasy
A Gathering of Shadows (Shades of Magic #2),44.81,4,True,Fantasy
The Raven Boys (The Raven Cycle #1),57.74,4,True,Fantasy
The False Prince (The Ascendance Trilogy #1),56.0,5,True,Fantasy
Tell the Wind and Fire,45.51,3,True,Fantasy
A Feast for Crows (A Song of Ice and Fire #4),17.21,4,True,Fantasy
The Demonists (Demonist #1),52.11,2,True,Fantasy
The Beast (Black Dagger Brotherhood #14),46.08,5,True,Fantasy
Paper and Fire (The Great Library #2),49.45,5,True,Fantasy
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,4,True,Fantasy
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,5,True,Fantasy
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,1,True,Fantasy
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,4,True,Fantasy
Soldier (Talon #3),24.72,2,True,Fantasy
Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,2,True,Fantasy
Heir to the Sky,44.07,4,True,Fantasy
Eragon (The Inheritance Cycle #1),43.87,3,True,Fantasy
Darkfever (Fever #1),56.02,1,True,Fantasy
Ash,22.06,4,True,Fantasy
A Storm of Swords (A Song of Ice and Fire #3),31.22,2,True,Fantasy
Vampire Girl (Vampire Girl #1),53.82,2,True,Fantasy
The Silent Twin (Detective Jennifer Knight #3),36.25,3,True,Fantasy
The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,1,True,Fantasy
Sister Sable (The Mad Queen #1),13.33,3,True,Fantasy
Shadow Rites (Jane Yellowrock #10),21.72,4,True,Fantasy
Origins (Alphas 0.5),28.99,1,True,Fantasy
One Second (Seven #7),52.94,2,True,Fantasy
Myriad (Prentor #1),58.75,4,True,Fantasy
