title,price,rating,in_stock,category
A Distant Mirror: The Calamitous 14th Century,14.58,3,1,History
1491: New Revelations of the Americas Before Columbus,21.8,3,1,History
Brilliant Beacons: A History of the American Lighthouse,11.45,3,1,History
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5,1,History
A Short History of Nearly Everything,52.4,5,1,History
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,2,1,History
Catherine the Great: Portrait of a Woman,58.55,4,1,History
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,5,1,History
The Hiding Place,55.91,4,1,History
America's War for the Greater Middle East: A Military History,51.22,2,1,History
The Guns of August,14.54,2,1,History
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,2,1,History
